l_id#v_id_1#v_id_2#voltage#cables#wires#frequency#name#operator#ref#length_m#r_ohmkm#x_ohmkm#c_nfkm#i_th_max_a#from_relation#wkt_srid_4326#type
18572#1809#3117#600000;600000;600000;500000;600000;600000#2;2;2;2;2;2##0;0;0;0;0;0#HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South###390474.995685663#####''#SRID=4326;LINESTRING(-47.1036569392876 -23.6657903593911,-50.8557330481667 -24.3211258410635)#line
1650#492#1091#440000#3##60####172735.290163761#####''#SRID=4326;LINESTRING(-47.6857924297351 -21.2007133950781,-47.4176654600009 -22.726750390059)#line
1675#1263#1497#230000####LT Sorriso - Sinop C1###74526.3935350425#####''#SRID=4326;LINESTRING(-55.7631946612157 -12.5756333624091,-55.5215451863842 -11.9836496547692)#line
1688#1091#1280########4937.48216685287#####''#SRID=4326;LINESTRING(-47.4176654600009 -22.726750390059,-47.4347773006438 -22.7639156327804)#line
1740#1301#21175##6#1#60####18413.6131065425#####''#SRID=4326;LINESTRING(-49.7072478075912 -21.1564665824275,-49.7838088029691 -21.2968717048593)#line
1770#1210#1879#345000#6######4697.1407160524#####''#SRID=4326;LINESTRING(-46.5581859417892 -23.4827172141173,-46.5854419530431 -23.4425761688056)#line
4788#2744#2898#500000#3##60####434.829334056705#####''#SRID=4326;LINESTRING(-47.9873674024006 -18.4512426321868,-47.9866653367118 -18.457188937315)#line
4922#2755#19304#230000#3##60####13545.9515742809#####''#SRID=4326;LINESTRING(-71.587283024585 10.7875166118012,-71.4736062703593 10.7512673368568)#line
1846#2294#2724##6######6696.89723872752#####''#SRID=4326;LINESTRING(-47.0278935733818 -22.9236810374098,-47.0686621622402 -22.9353534012315)#line
1868#1590#2006########205.132022236056#####''#SRID=4326;LINESTRING(-71.4637688588425 -37.27085761564,-71.4594790642774 -37.2726143375578)#line
10877#1560#17787##6#1#60####3577.10414690848#####''#SRID=4326;LINESTRING(-49.3948239354163 -20.8269687612686,-49.4199524341736 -20.837999594338)#line
1884#1357#1603########2956.17076794531#####''#SRID=4326;LINESTRING(-47.6910169743679 -22.6495709596838,-47.6831733113783 -22.6304000051866)#line
1966#649#1014#220000#6##50####109242.831972697#####''#SRID=4326;LINESTRING(-72.9534201641015 -41.4515374303482,-73.0877859060579 -40.5783304344706)#line
1939#1590#2006########220.069630119456#####''#SRID=4326;LINESTRING(-71.4637688588425 -37.27085761564,-71.4594790642774 -37.2726143375578)#line
1952#1473#2064#500000#3##50##Transener##159338.056731672#####''#SRID=4326;LINESTRING(-57.9633113647179 -31.2793938230668,-58.2937329298499 -32.6011659000095)#line
1995#835#3254#220000#######93519.3949615323#####''#SRID=4326;LINESTRING(-74.911102902432 10.6497121878165,-74.174730327006 10.5072991683448)#line
13311#18566#19040#13200#3#1#####490.329468087103#####''#SRID=4326;LINESTRING(-57.9379923860532 -34.9575485721204,-57.9343786433282 -34.9542603920267)#line
2035#2127#2128#115000###50####38506.2047473283#####''#SRID=4326;LINESTRING(-66.1145521323216 -17.3804287058851,-65.8752169229367 -17.2125275296722)#line
2124#2171#3185#330000#3######538.565826820042#####''#SRID=4326;LINESTRING(-71.628992796373 -43.1334369203371,-71.6300381995564 -43.1290348141212)#line
